Circuit and District,Total,Violent Offenses,,,,Property Offenses,,,,,Drug Offenses,,,,,Immigration Offenses,,General Offenses,Regulatory Offenses,Traffic Offenses
     10th,"7,222",21,35,126,86,74,20,181,11,5,88,"1,220",766,197,74,"3,631",420,121,77,69
CO,430,-,9,23,6,14,1,15,-,1,12,139,104,10,13,53,3,11,12,4
KS,506,-,6,24,12,21,7,21,5,-,23,180,116,24,25,16,-,15,7,4
NM,"4,277",13,5,42,39,6,3,35,-,1,25,277,163,42,13,"3,167",415,14,14,3
"OK,N",248,1,1,3,6,5,1,37,1,1,-,58,59,32,3,22,-,16,2,-
"OK,E",113,-,-,-,2,2,3,5,2,-,4,57,29,7,-,1,-,1,-,-
"OK,W",668,2,7,21,5,21,3,15,3,2,7,241,116,18,8,72,-,42,28,57
UT,745,2,7,1,8,4,1,38,-,-,6,205,139,32,6,266,1,20,9,-
WY,235,3,-,12,8,1,1,15,-,-,11,63,40,32,6,34,1,2,5,1
,,,,,,,,,,,,,,,,,,,,
     11th,"6,226",2,58,50,86,166,29,824,36,10,103,"1,835","1,100",305,65,955,78,230,119,175
"AL,N",513,-,6,3,8,11,-,36,4,1,11,154,208,17,1,25,1,13,6,8
"AL,M",170,-,3,1,1,5,6,7,2,1,6,24,67,12,1,24,-,1,4,5
"AL,S",277,-,3,1,9,2,3,16,2,1,4,92,104,7,1,25,2,4,1,-
"FL,N",492,-,2,9,1,23,-,71,3,-,20,105,58,31,5,63,2,20,3,76
"FL,M","1,448",1,5,8,24,38,5,193,15,1,2,471,160,88,19,354,16,29,18,1
"FL,S","1,505",1,24,6,30,57,10,317,3,3,11,388,148,44,18,289,50,70,36,-
"GA,N",705,-,5,5,10,13,3,103,4,1,2,215,116,40,14,95,7,58,13,1
"GA,M",519,-,9,4,1,13,1,28,3,1,36,182,108,30,-,36,-,10,1,56
"GA,S",597,-,1,13,2,4,1,53,-,1,11,204,131,36,6,44,-,25,37,28
,,,,,,,,,,,,,,,,,,,,
"NOTE: This table includes defendants in all cases filed as felonies or Class A misdemeanors, but includes only those defendants in cases filed as petty offenses that were assigned to district judges rather than magistrate judges.",,,,,,,,,,,,,,,,,,,,
